name,change_30,change_10,vol_30,vol_10,start_10,close_10,status,notes
XANO-B.ST,0.859,-2.427,107804,41689,60.0,63.1,"⚠️ 10D Weakness, 30D Strong",Short-term pullback. Watch for bounce or fail.; Volume tapering. Possibly quiet accumulation or weakness.
CS.ST,0.211,1.065,623871,178573,114.4,114.6,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
SSAB-A.ST,1.144,1.263,6590862,3001625,62.58,64.72,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
AZA.ST,0.069,-0.0,1704224,485143,350.8,361.7,"⚠️ 10D Weakness, 30D Strong",Short-term pullback. Watch for bounce or fail.; Volume tapering. Possibly quiet accumulation or weakness.
RESURS.ST,0.912,1.4,306289,58167,28.3,28.35,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
INSTAL.ST,0.44,0.613,2252354,478900,25.8,26.76,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
HEXA-B.ST,0.267,0.447,15732526,8456400,111.1,111.2,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
NCAB.ST,2.076,5.05,1863716,723725,50.55,51.65,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
ROKO-B.ST,1.706,2.958,109750,70130,2683.0,2708.0,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
ATT.ST,-0.109,0.803,2261815,281936,66.6,67.5,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.
MTRS.ST,-0.36,0.985,2946815,751464,128.4,129.7,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.
GRNG.ST,0.812,2.213,797321,542520,127.1,131.0,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
EVO.ST,0.2,0.51,3899697,2699398,828.4,859.6,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
SHB-A.ST,0.264,0.167,19787079,6386642,118.6,121.15,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
PLEJD.ST,1.06,1.503,367713,144840,946.0,988.0,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
STEF-B.ST,0.227,0.84,71710,29693,197.5,207.0,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
SWED-A.ST,-0.131,0.297,7369522,2239476,261.8,262.2,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.
SAAB-B.ST,0.824,2.027,21783797,16628260,481.5,531.5,✅ Strong Uptrend,
AQ.ST,-0.48,-0.035,499818,366560,198.7,200.8,❌ Downtrend,Both windows declining. Avoid or exit.
FABG.ST,0.494,0.915,4360942,2095704,82.7,84.1,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
TEL2-B.ST,-0.109,0.37,7803599,2825290,152.4,156.05,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.
MCAP.ST,1.03,1.763,251729,122839,532.0,654.0,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
CORE-A.ST,0.319,1.623,64968,7139,5.1,5.46,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
NORION.ST,0.516,1.397,2346797,687360,63.3,67.5,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
APOTEA.ST,0.651,-0.265,1697642,502758,113.5,114.34,"⚠️ 10D Weakness, 30D Strong",Short-term pullback. Watch for bounce or fail.; Volume tapering. Possibly quiet accumulation or weakness.
BERG-B.ST,0.246,0.31,119314,66459,318.5,331.0,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
DYVOX.ST,1.707,0.73,2146520,567146,129.0,129.8,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
HOFI.ST,0.34,0.727,1769148,1203054,88.95,99.85,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
LIAB.ST,0.619,0.5,573363,218119,206.8,211.0,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
RATO-A.ST,0.157,0.782,15677,10377,35.9,37.2,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
